Position,Const,Created,Modified,Description,Name,Known For,Birth Date
791,nm0112218,2018-05-29,2018-05-29,"537 points","Richard Brooks","In Cold Blood","May 18, 1912"
792,nm0836715,2021-09-03,2021-09-03,"536 points","Philipp Stölzl","Nordwand","1967"
793,nm0011752,2018-07-14,2018-07-14,"533 points","Maren Ade","Toni Erdmann","December 12, 1976"
794,nm0000169,2019-05-31,2019-05-31,"533 points","Tommy Lee Jones","The Homesman","September 15, 1946"
795,nm0368871,2018-06-03,2018-06-03,"532 points","Henry Hathaway","True Grit","March 13, 1898"
796,nm0000801,2022-10-02,2022-10-02,"531 points","Olivier Assayas","Personal Shopper","January 25, 1955"
797,nm0911061,2018-06-26,2018-06-26,"527 points","Wayne Wang","Smoke","January 12, 1949"
798,nm0302780,2018-07-13,2018-07-13,"527 points","Florian Gallenberger","Colonia","1972"
799,nm0654830,2018-07-02,2018-07-02,"526 points","François Ozon","Dans la maison","November 15, 1967"
800,nm1377207,2024-01-10,2024-01-10,"526 points","Santiago Mitre","Argentina, 1985","December 4, 1980"
801,nm0920108,2018-07-02,2018-07-02,"526 points","Audrey Wells","The Hate U Give","January 25, 1960"
802,nm0001429,2024-07-02,2024-07-02,"525 points","Takeshi Kitano","Zatôichi","January 18, 1947"
803,nm0005563,2024-01-10,2024-01-10,"521 points","Irwin Winkler","Life as a House","May 28, 1931"
804,nm0747849,2024-03-18,2024-03-18,"519 points","Joseph Ruben","Dreamscape","May 10, 1950"
805,nm0585344,2024-07-19,2024-07-19,"519 points","Jim Mickle","Stake Land",
806,nm0000341,2018-06-07,2018-06-07,"518 points","Michael Crichton","Jurassic Park","October 23, 1942"
807,nm0469694,2023-04-14,2023-04-14,"518 points","Wayne Kramer","The Cooler","1965"
808,nm0000641,2018-06-24,2018-06-24,"516 points","Gary Sinise","Forrest Gump","March 17, 1955"
809,nm0005139,2018-06-27,2018-06-27,"515 points","Mike Leigh","Secrets & Lies","February 20, 1943"
810,nm0780833,2018-05-23,2018-05-23,"515 points","George Seaton","Miracle on 34th Street","April 17, 1911"
811,nm0458251,2020-03-11,2020-03-11,"510 points","Cédric Klapisch","L'auberge espagnole","September 4, 1961"
812,nm0506094,2022-02-09,2022-02-09,"509 points","Sam Levinson","Euphoria","January 8, 1985"
813,nm0623768,2018-06-06,2018-06-06,"508 points","Ronald Neame","Great Expectations","April 23, 1911"
814,nm1177494,2019-08-01,2019-08-01,"507 points","David Wnendt","Er ist wieder da","1977"
815,nm0724938,2018-07-03,2018-07-03,"506 points","Jean-François Richet","L'instinct de mort","July 2, 1966"
816,nm2776774,2024-11-01,2024-11-01,"506 points","Alma Har'el","Honey Boy","July 2, 1975"
817,nm0281507,2018-06-07,2018-06-07,"505 points","Richard Fleischer","Soylent Green","December 8, 1916"
818,nm0172772,2018-06-03,2018-06-03,"504 points","Peter Collinson","The Italian Job","April 1, 1936"
819,nm0959774,2018-07-01,2018-07-01,"504 points","Jonas Åkerlund","Lords of Chaos","November 10, 1965"
820,nm0527109,2018-07-07,2018-07-07,"504 points","Rod Lurie","The Outpost","May 15, 1962"
821,nm0248942,2018-07-07,2018-07-07,"502 points","Uli Edel","Der Baader Meinhof Komplex","April 11, 1947"
822,nm0000425,2018-06-22,2018-06-22,"500 points","Peter Greenaway","The Cook, the Thief, His Wife & Her Lover","April 5, 1942"
